ABV,X,Y
JXN,4,8
OSC,4,0
TEW,4,1
CFS,3,0
ISQ,3,5
DUH,2,0
HAI,2,3
OZW,2,11
RMY,2,1
BTL,1,2
FKS,1,2
MSP,"18,123,844","17,634,273"
DLH,"124,284","131,128"
RST,"112,864","114,657"
BJI,"25,510","24,765"
BRD,"18,328","18,200"
STC,"15,615","19,171"
INL,"13,831","14,706"
HIB,"12,654","12,394"
TVF,"3,524","1,029"
STP,68,106
FCM,25,65
MKT,11,3
EVM,8,9
ELO,7,0
AIT,2,0
OWA,2,0
SBU,2,0
ANE,1,58
CKN,1,0
STL,"6,793,076","6,239,248"
MCI,"5,391,557","5,135,127"
SGF,"462,126","447,843"
COU,"65,014","64,707"
JLN,"27,930","28,306"
TBN,"8,108","8,065"
CGI,"5,532","6,213"
IRK,"4,733","5,167"
MKC,"2,907","2,969"
BBG,"1,601","5,147"
SZL,307,254
SUS,181,159
AIZ,58,79
HAE,19,0
1H0,6,0
NVD,2,0
TKX,2,0
UNO,2,0
JEF,1,0
GSN,"430,275","455,232"
TNI,"38,452","46,977"
GRO,"19,178","12,116"
JAN,"491,464","497,042"
GPT,"305,157","317,154"
GTR,"40,823","38,632"
MEI,"26,359","24,685"
PIB,"12,367","12,947"
TUP,"7,539","2,560"
GLH,"4,986",773
UTA,"2,671","9,532"
UOX,152,392
STF,56,0
HSA,44,63
HBG,8,0
GWO,5,2
HKS,4,49
LUL,4,0
2R0,3,0
PQL,3,2
VKS,2,0
BZN,"553,245","512,042"
BIL,"423,213","420,426"
MSO,"381,582","350,172"
GPI,"247,816","237,501"
GTF,"176,730","182,635"
HLN,"103,239","99,460"
BTM,"25,890","27,448"
WYS,"8,525","7,796"
SDY,"8,065","10,129"
OLF,"3,439","3,901"
GGW,"3,251","3,758"
GDV,"2,639","2,311"
HVR,"2,323","2,388"
32S,500,450
6S8,152,91
6S5,50,1
S59,31,75
00U,3,0
DLN,3,10
88M,2,16
8S0,2,0
CTB,2,0
LWT,2,4
SBX,2,0
THM,2,1
CLT,"21,511,880","21,913,166"
RDU,"5,401,714","4,954,735"
GSO,"848,261","848,249"
AVL,"416,939","393,386"
ILM,"413,185","388,023"
FAY,"224,541","220,339"
OAJ,"149,987","148,960"
EWN,"106,110","109,237"
JQF,"90,338","73,727"
PGV,"47,457","55,017"
92NC,"17,122","11,495"
POB,"5,583","6,231"
ISO,"1,114","2,311"
INT,930,358
HKY,889,585
RWI,701,897
GSB,551,163
ECG,529,4
MQI,11,3
SOP,7,41
ONX,6,13
JNX,5,0
EQY,4,6
SUT,4,0
SVH,4,7
RUQ,3,5
EXX,2,0
MRN,2,0
TDF,2,3
UKF,1,0
FAR,"402,976","437,188"
BIS,"273,980","262,469"
MOT,"150,634","181,328"
GFK,"132,557","145,785"
ISN,"68,829","102,345"
DIK,"16,822","41,925"
DVL,"8,209","6,180"
JMS,"7,941","6,086"
MIB,365,"1,174"
OMA,"2,127,387","2,046,179"
LNK,"162,876","160,525"
GRI,"68,879","64,602"
CDR,"4,474","1,715"
BFF,"4,262","5,144"
EAR,"4,180","4,543"
